lon,lat,elevacion,pendiente,distancia_hospital,distancia_via,poblacion_distrito,crecimiento_distrito,agua,electricidad,alcantarillado,area_m2,patrimonial,industrial_incompatible,cerca_rio,uso_suelo_compatible,iat,apto
-65.25160194964786,-19.027227709434545,2849.9,5.9,619.7,45.3,81668,0.018,0,1,1,6716.845571661257,0,1,0,1,0.0,0
-65.26010321808684,-19.03970168585989,2800.0,0.2,585.1,135.8,81668,0.018,1,1,0,16698.927281157732,0,0,0,1,64.0,1
-65.24101306429168,-19.03432272325224,2848.5,9.0,780.0,183.8,81668,0.018,1,1,1,9435.084412542008,0,1,0,0.5,59.9,1
-65.23967927541196,-19.036856624589177,2850.0,0.5,1040.7,11.1,81668,0.018,1,1,1,4356.463607701668,0,0,0,1,0.0,0
-65.2617025932484,-19.056875555311404,2791.1,15.5,860.5,38.5,42074,0.032,1,1,1,14016.60154919209,0,1,0,0.5,0.0,0
-65.26886455943078,-19.026260900327117,2800.0,0.0,2116.5,137.5,116400,0.045,1,1,1,8362.701817004392,0,0,0,1,91.7,1
-65.25976175021862,-19.053959162611964,2800.1,0.9,498.1,170.9,40398,0.05,0,1,1,12543.258280773563,0,0,0,1,79.0,1
-65.24657842122515,-19.051587764160736,2897.5,21.6,971.0,16.6,40398,0.05,1,1,0,19508.33241943151,0,1,0,0.8,0.0,0
-65.25705110092453,-19.04049996922851,2800.9,1.5,676.8,109.1,81668,0.018,1,1,1,10713.30300759651,0,0,0,0.8,67.9,1
-65.24927303190636,-19.040364975513846,2848.8,2.2,993.8,66.7,81668,0.018,1,1,1,3331.104620559149,0,0,0,1,0.0,0
-65.29670245711742,-19.00798771514986,2900.0,0.0,5154.9,354.2,116400,0.045,1,1,1,6419.56807762483,0,0,0,1,93.9,1
-65.30013349954692,-19.00479612992257,2910.4,51.6,5654.7,134.1,116400,0.045,0,1,1,6642.025725297456,0,0,0,0.8,0.0,0
-65.27684336697938,-19.016616151925096,2845.3,15.1,3329.1,170.4,116400,0.045,1,1,1,10200.836591338653,0,0,0,0.8,0.0,0
-65.22850674464456,-19.082712267043874,2852.2,9.5,4494.5,70.6,40398,0.05,1,1,0,6233.551443493796,0,0,0,1,90.0,1
-65.29810290329141,-19.003117848239157,2900.0,0.0,5679.2,55.6,116400,0.045,1,1,1,19987.80196301635,0,0,0,1,97.5,1
-65.2414584572871,-19.07607392496973,2946.6,11.8,3111.8,204.4,40398,0.05,1,1,1,9442.543022607573,0,0,0,1,91.4,1
-65.2790136529788,-19.051109042258418,2750.0,0.5,1335.4,14.8,42074,0.032,0,0,1,5631.54602965909,0,0,0,1,71.0,1
